magnitude, phase, angfreq
5.33349,-89.795,100
5.23596,-89.7912,101.863
5.14021,-89.7873,103.761
5.04621,-89.7833,105.693
4.95393,-89.7793,107.662
4.86334,-89.7752,109.668
4.7744,-89.771,111.711
4.68709,-89.7667,113.792
4.60138,-89.7624,115.912
4.51724,-89.758,118.071
4.43463,-89.7535,120.271
4.35354,-89.7489,122.511
4.27392,-89.7442,124.794
4.19577,-89.7394,127.118
4.11904,-89.7346,129.486
4.04372,-89.7296,131.899
3.96978,-89.7246,134.356
3.89718,-89.7195,136.859
3.82592,-89.7142,139.408
3.75596,-89.7089,142.005
3.68728,-89.7035,144.651
3.61985,-89.698,147.345
3.55366,-89.6923,150.09
3.48868,-89.6866,152.886
3.42488,-89.6808,155.734
3.36226,-89.6748,158.636
3.30078,-89.6688,161.591
3.24042,-89.6626,164.601
3.18117,-89.6563,167.668
3.123,-89.6499,170.791
3.0659,-89.6434,173.973
3.00984,-89.6367,177.214
2.9548,-89.63,180.515
2.90078,-89.6231,183.878
2.84774,-89.6161,187.303
2.79567,-89.6089,190.792
2.74455,-89.6016,194.347
2.69437,-89.5942,197.967
2.64511,-89.5866,201.655
2.59674,-89.579,205.412
2.54927,-89.5711,209.238
2.50266,-89.5631,213.136
2.4569,-89.555,217.107
2.41198,-89.5467,221.151
2.36788,-89.5382,225.271
2.32459,-89.5296,229.468
2.28209,-89.5209,233.742
2.24037,-89.512,238.097
2.19941,-89.5029,242.532
2.1592,-89.4936,247.05
2.11973,-89.4842,251.653
2.08098,-89.4746,256.341
2.04294,-89.4648,261.116
2.00559,-89.4548,265.98
1.96893,-89.4447,270.935
1.93293,-89.4343,275.983
1.8976,-89.4238,281.124
1.86291,-89.4131,286.361
1.82886,-89.4021,291.696
1.79543,-89.391,297.13
1.76261,-89.3796,302.665
1.7304,-89.3681,308.303
1.69877,-89.3563,314.047
1.66772,-89.3443,319.897
1.63724,-89.3321,325.856
1.60732,-89.3197,331.927
1.57794,-89.307,338.11
1.5491,-89.2941,344.409
1.52079,-89.281,350.825
1.493,-89.2676,357.36
1.46572,-89.2539,364.017
1.43894,-89.2401,370.799
1.41264,-89.2259,377.706
1.38683,-89.2115,384.743
1.36149,-89.1968,391.91
1.33661,-89.1818,399.211
1.31219,-89.1666,406.648
1.28822,-89.1511,414.223
1.26468,-89.1353,421.94
1.24158,-89.1192,429.8
1.2189,-89.1028,437.807
1.19663,-89.0861,445.963
1.17478,-89.0691,454.271
1.15332,-89.0517,462.733
1.13225,-89.0341,471.353
1.11158,-89.0161,480.134
1.09128,-88.9978,489.079
1.07135,-88.9791,498.19
1.05178,-88.9601,507.471
1.03258,-88.9408,516.924
1.01373,-88.9211,526.554
0.995218,-88.901,536.363
0.977049,-88.8805,546.355
0.959213,-88.8597,556.533
0.941704,-88.8385,566.901
0.924515,-88.8168,577.462
0.907642,-88.7948,588.219
0.891078,-88.7724,599.177
0.874817,-88.7496,610.339
0.858855,-88.7263,621.709
0.843185,-88.7026,633.291
0.827802,-88.6785,645.088
0.812702,-88.6539,657.106
0.797878,-88.6288,669.347
0.783326,-88.6033,681.816
0.769041,-88.5773,694.518
0.755018,-88.5509,707.456
0.741252,-88.5239,720.635
0.727739,-88.4965,734.06
0.714474,-88.4685,747.735
0.701452,-88.44,761.664
0.688669,-88.411,775.853
0.676121,-88.3815,790.307
0.663803,-88.3514,805.029
0.651711,-88.3207,820.026
0.639842,-88.2895,835.302
0.62819,-88.2577,850.863
0.616752,-88.2253,866.714
0.605525,-88.1923,882.86
0.594503,-88.1587,899.307
0.583685,-88.1245,916.06
0.573065,-88.0897,933.125
0.56264,-88.0542,950.508
0.552407,-88.0181,968.215
0.542363,-87.9812,986.252
0.532503,-87.9437,1004.63
0.522824,-87.9056,1023.34
0.513324,-87.8667,1042.4
0.503998,-87.8271,1061.82
0.494845,-87.7867,1081.6
0.485859,-87.7456,1101.75
0.47704,-87.7038,1122.28
0.468383,-87.6612,1143.18
0.459885,-87.6178,1164.48
0.451544,-87.5736,1186.17
0.443357,-87.5286,1208.27
0.435322,-87.4828,1230.78
0.427434,-87.4361,1253.71
0.419692,-87.3886,1277.06
0.412093,-87.3402,1300.85
0.404635,-87.2909,1325.09
0.397314,-87.2407,1349.77
0.390129,-87.1896,1374.92
0.383076,-87.1375,1400.53
0.376154,-87.0845,1426.62
0.369361,-87.0306,1453.2
0.362693,-86.9756,1480.27
0.356149,-86.9196,1507.85
0.349726,-86.8627,1535.93
0.343422,-86.8047,1564.55
0.337236,-86.7456,1593.69
0.331164,-86.6854,1623.38
0.325205,-86.6242,1653.62
0.319357,-86.5618,1684.43
0.313618,-86.4984,1715.81
0.307986,-86.4337,1747.77
0.302458,-86.3679,1780.33
0.297034,-86.3009,1813.5
0.291711,-86.2327,1847.28
0.286487,-86.1633,1881.69
0.281361,-86.0926,1916.75
0.276331,-86.0206,1952.46
0.271395,-85.9474,1988.83
0.266552,-85.8728,2025.88
0.261799,-85.7969,2063.62
0.257136,-85.7196,2102.06
0.252561,-85.641,2141.22
0.248071,-85.5609,2181.11
0.243666,-85.4795,2221.74
0.239345,-85.3965,2263.13
0.235104,-85.3122,2305.29
0.230944,-85.2263,2348.23
0.226863,-85.1389,2391.98
0.222859,-85.0499,2436.54
0.218932,-84.9594,2481.93
