magnitude, phase, angfreq
800,-0.00733386,1
800,-0.00743599,1.01393
800,-0.00753954,1.02804
800,-0.00764453,1.04236
800,-0.00775098,1.05688
800,-0.00785892,1.07159
800,-0.00796835,1.08652
800,-0.00807932,1.10165
800,-0.00819182,1.11699
800,-0.0083059,1.13254
800,-0.00842156,1.14831
800,-0.00853884,1.1643
800,-0.00865774,1.18052
800,-0.00877831,1.19696
800,-0.00890055,1.21362
800,-0.00902449,1.23052
800,-0.00915016,1.24766
800,-0.00927758,1.26503
800,-0.00940677,1.28265
800,-0.00953777,1.30051
800,-0.00967058,1.31862
800,-0.00980525,1.33698
800,-0.00994179,1.3556
800,-0.0100802,1.37448
800,-0.0102206,1.39362
800,-0.0103629,1.41303
800,-0.0105072,1.4327
800,-0.0106536,1.45265
800,-0.0108019,1.47288
800,-0.0109523,1.49339
800,-0.0111049,1.51419
800,-0.0112595,1.53528
800,-0.0114163,1.55665
800,-0.0115753,1.57833
800,-0.0117365,1.60031
800,-0.0118999,1.6226
800,-0.0120656,1.64519
800,-0.0122336,1.6681
800,-0.012404,1.69133
800,-0.0125767,1.71488
800,-0.0127518,1.73876
800,-0.0129294,1.76298
800,-0.0131095,1.78753
800,-0.013292,1.81242
800,-0.0134771,1.83766
800,-0.0136648,1.86325
800,-0.0138551,1.88919
800,-0.014048,1.9155
800,-0.0142436,1.94217
800,-0.014442,1.96922
800,-0.0146431,1.99664
800,-0.014847,2.02445
800,-0.0150538,2.05264
800,-0.0152634,2.08122
800,-0.0154759,2.1102
800,-0.0156914,2.13959
800,-0.01591,2.16938
800,-0.0161315,2.19959
800,-0.0163561,2.23022
800,-0.0165839,2.26128
800,-0.0168148,2.29277
800,-0.017049,2.3247
800,-0.0172864,2.35707
800,-0.0175271,2.38989
800,-0.0177712,2.42317
800,-0.0180187,2.45692
800,-0.0182696,2.49113
800,-0.018524,2.52582
800,-0.018782,2.56099
800,-0.0190435,2.59666
800,-0.0193087,2.63282
800,-0.0195776,2.66948
800,-0.0198502,2.70665
800,-0.0201266,2.74434
800,-0.0204069,2.78256
800,-0.0206911,2.82131
800,-0.0209792,2.8606
800,-0.0212714,2.90043
800,-0.0215676,2.94082
800,-0.0218679,2.98177
800,-0.0221724,3.02329
800,-0.0224812,3.0654
800,-0.0227942,3.10808
800,-0.0231117,3.15136
800,-0.0234335,3.19525
800,-0.0237598,3.23974
800,-0.0240907,3.28486
800,-0.0244262,3.3306
800,-0.0247663,3.37698
800,-0.0251112,3.42401
800,-0.0254609,3.47169
800,-0.0258154,3.52003
800,-0.0261749,3.56905
800,-0.0265394,3.61875
800,-0.026909,3.66914
800,-0.0272837,3.72024
800,-0.0276636,3.77204
800,-0.0280489,3.82457
800,-0.0284395,3.87783
800,-0.0288355,3.93183
800,-0.029237,3.98658
800,-0.0296442,4.0421
800,-0.030057,4.09838
800,-0.0304755,4.15546
800,-0.0308999,4.21332
800,-0.0313302,4.27199
800,-0.0317665,4.33148
800,-0.0322089,4.3918
800,-0.0326574,4.45296
800,-0.0331121,4.51497
800,-0.0335732,4.57784
800,-0.0340408,4.64159
800,-0.0345148,4.70622
800,-0.0349954,4.77176
800,-0.0354828,4.83821
800,-0.0359769,4.90558
800,-0.0364779,4.9739
800,-0.0369858,5.04316
800,-0.0375009,5.11339
800,-0.0380231,5.18459
800,-0.0385526,5.25679
800,-0.0390894,5.32999
800,-0.0396338,5.40422
800,-0.0401857,5.47947
800,-0.0407453,5.55578
800,-0.0413127,5.63314
800,-0.041888,5.71159
800,-0.0424713,5.79112
800,-0.0430627,5.87177
800,-0.0436624,5.95353
800,-0.0442704,6.03644
800,-0.0448869,6.1205
800,-0.045512,6.20573
800.001,-0.0461457,6.29215
800.001,-0.0467883,6.37977
